楼盘名称,总价,平米数,单价
潘家园东里,520万,84.49平米,"61,546元/平"
劲松一区,358万,59.72平米,"59,947元/平"
农光里,670万,162.41平米,"41,254元/平"
十里堡北里,449万,68.96平米,"65,111元/平"
艺水芳园,380万,78.8平米,"48,224元/平"
平乐园小区,356万,57.9平米,"61,486元/平"
安慧北里安园,945万,136.64平米,"69,160元/平"
北窑地,365万,76.53平米,"47,694元/平"
瑞和国际,455万,97平米,"46,908元/平"
珠江帝景博悦,1080万,92.4平米,"116,884元/平"
翠成馨园B区,645万,129.79平米,"49,696元/平"
通惠家园,510万,85.41平米,"59,712元/平"
兴隆家园,500万,72.67平米,"68,805元/平"
卡布其诺,640万,82.76平米,"77,333元/平"
蓝色家园,798万,116.89平米,"68,270元/平"
南十里居,436万,70.26平米,"62,056元/平"
瑞和国际,488万,116.15平米,"42,015元/平"
柏林爱乐二期,525万,97.66平米,"53,758元/平"
首城国际C区,1470万,140.39平米,"104,709元/平"
晨光家园B区,868万,133.96平米,"64,796元/平"
融科橄榄城二期,1650万,139.68平米,"118,128元/平"
磨房南里,578万,117.48平米,"49,200元/平"
首府官邸,2980万,402.45平米,"74,047元/平"
慧谷阳光,1080万,110.29平米,"97,924元/平"
北京新天地二期,580万,102平米,"56,863元/平"
天和人家,580万,75.62平米,"76,700元/平"
壹线国际,675万,130.6平米,"51,685元/平"
国美第一城2号院,632万,95.94平米,"65,875元/平"
石佛营东里105号院,425万,64.17平米,"66,231元/平"
胜古南里,415万,56平米,"74,108元/平"
小关北里,539万,64.36平米,"83,748元/平"
枣营南里,420万,54.4平米,"77,206元/平"
劲松七区,295万,50.8平米,"58,071元/平"
石佛营西里小区,398万,61.07平米,"65,172元/平"
柏林爱乐二期,565万,100.67平米,"56,124元/平"
安慧里一区,560万,68.47平米,"81,788元/平"
华威西里,285万,46.76平米,"60,950元/平"
晨光家园A区,545万,82.89平米,"65,750元/平"
定福庄北里2号院,265万,57.84平米,"45,817元/平"
电建南院,380万,69.13平米,"54,969元/平"
和平街十二区,325万,38.41平米,"84,614元/平"
美景东方,860万,143.77平米,"59,818元/平"
后现代城C区,778万,99.19平米,"78,436元/平"
南太平庄北巷,218万,64.36平米,"33,872元/平"
华严北里中科院,610万,61.17平米,"99,723元/平"
国典华园,1370万,139.71平米,"98,061元/平"
翠成馨园E区,415万,97.08平米,"42,749元/平"
农光东里,355万,48.41平米,"73,332元/平"
望京新城,795万,115.45平米,"68,861元/平"
望京西园三区,610万,82.6平米,"73,850元/平"
望京新城,699万,96.47平米,"72,458元/平"
首开常青藤二期,699万,95.23平米,"73,402元/平"
北京新天地三期,860万,149.28平米,"57,610元/平"
盛和家园,525万,69.52平米,"75,518元/平"
华贸城,1650万,212.02平米,"77,823元/平"
华阳公寓,739万,127.69平米,"57,875元/平"
国美第一城2号院,850万,142.4平米,"59,692元/平"
万象新天四区,555万,93.73平米,"59,213元/平"
福盈家园,405万,72.17平米,"56,118元/平"
南沙滩小区,345万,40.36平米,"85,481元/平"
北苑家园茉藜园,830万,149.09平米,"55,672元/平"
东区国际,1090万,146.6平米,"74,352元/平"
枣营北里,550万,65.2平米,"84,356元/平"
九龙花园,775万,141.06平米,"54,942元/平"
福怡苑,445万,82.41平米,"53,999元/平"
农光里,265万,42.79平米,"61,931元/平"
松榆里,460万,76.15平米,"60,408元/平"
白领家园,340万,42.13平米,"80,703元/平"
北辰福第二号院,450万,83.66平米,"53,790元/平"
夏都盈座,1068万,142.98平米,"74,696元/平"
融科橄榄城三期,1550万,138.24平米,"112,124元/平"
科学园南里四区,860万,83.49平米,"103,007元/平"
弘善家园,325万,70.97平米,"45,794元/平"
沿海赛洛城一期,575万,81.37平米,"70,665元/平"
国美第一城2号院,720万,115.43平米,"62,376元/平"
松榆西里,359万,56.89平米,"63,105元/平"
广渠门外大街,446万,65.15平米,"68,458元/平"
樱花园,680万,75.33平米,"90,270元/平"
南新园,468万,86.83平米,"53,899元/平"
高原街,515万,57.77平米,"89,147元/平"
双龙南里,335万,58.23平米,"57,531元/平"
芍药居20号院,1150万,150.55平米,"76,387元/平"
三源里街,700万,80.05平米,"87,446元/平"
京师园,1280万,119.11平米,"107,464元/平"
三丰里小区,610万,73.24平米,"83,288元/平"
沿海赛洛城六期,1280万,163.64平米,"78,221元/平"
富力又一城C区,840万,155.14平米,"54,145元/平"
澳林春天四期,2600万,303.97平米,"85,535元/平"
康城别墅一期,1450万,342.72平米,"42,309元/平"
欧陆经典,1390万,182.21平米,"76,286元/平"
国风上观,1550万,197.01平米,"78,677元/平"
山水蓝维,1130万,150.3平米,"75,183元/平"
奥北南区,280万,84.62平米,"33,090元/平"
十里堡北里,428万,69.2平米,"61,850元/平"
北京新天地三期,379万,65.54平米,"57,828元/平"
世纪村东区,795万,93.82平米,"84,737元/平"
朝阳园,829万,125.12平米,"66,257元/平"
花园闸小区,285万,51.03平米,"55,850元/平"
金福家园,575万,134.98平米,"42,599元/平"
南十里居10号院,340万,57.08平米,"59,566元/平"
华威西里,345万,57.34平米,"60,168元/平"
华威北里,488万,75.32平米,"64,791元/平"
翠成馨园E区,370万,78.32平米,"47,243元/平"
奥林匹克花园一期,1190万,139.07平米,"85,569元/平"
南沙滩小区,436万,52.9平米,"82,420元/平"
远洋一方润园6号院,420万,88.22平米,"47,609元/平"
福怡苑,416万,83.9平米,"49,583元/平"
浩鸿园,1100万,124.77平米,"88,163元/平"
管庄西里,349万,71.32平米,"48,935元/平"
望京新城,660万,89.48平米,"73,760元/平"
南十里居10号院,400万,68.86平米,"58,089元/平"
柏林爱乐四期,695万,115.61平米,"60,116元/平"
金地名京,810万,89.83平米,"90,171元/平"
将府家园,710万,125.32平米,"56,655元/平"
首开畅心园,300万,71.84平米,"41,760元/平"
远洋天地二期,850万,135.8平米,"62,593元/平"
住欣家园,305万,70.61平米,"43,196元/平"
柏林爱乐三期,409万,68.59平米,"59,630元/平"
兴隆家园,770万,135.17平米,"56,966元/平"
环卫家园,530万,98.89平米,"53,595元/平"
金福家园,440万,109.77平米,"40,084元/平"
国美第一城3号院,548万,79.52平米,"68,914元/平"
马南里,390万,72.3平米,"53,942元/平"
安慧里二区,625万,65.92平米,"94,812元/平"
翠成馨园E区,486万,100.95平米,"48,143元/平"
十里堡北里,308万,58.26平米,"52,867元/平"
纽约豪园,1150万,169.25平米,"67,947元/平"
沿海赛洛城二期,670万,105.65平米,"63,417元/平"
利泽西园,710万,105.57平米,"67,254元/平"
华腾园,685万,98.7平米,"69,403元/平"
望京新城,765万,128.96平米,"59,321元/平"
和乔丽致公寓,649万,79.18平米,"81,966元/平"
金隅悦和园,409万,78.29平米,"52,242元/平"
华源冠军城,710万,81.59平米,"87,021元/平"
万象新天四区,520万,83.39平米,"62,358元/平"
北苑家园茉藜园,573万,109.75平米,"52,210元/平"
苹果派,699万,112.77平米,"61,985元/平"
国风上观,1650万,184.36平米,"89,499元/平"
风格雅园,1160万,145.89平米,"79,512元/平"
风格雅园,1223万,185.02平米,"66,101元/平"
泰禾北京院子,2480万,304.14平米,"81,542元/平"
扬州水乡,1380万,208.94平米,"66,048元/平"
