楼盘名称,总价,平米数,单价
交科院,970万,83.6平米,"116,029元/平"
会城门小区,415万,41.5平米,"100,000元/平"
缘溪堂,4200万,418.05平米,"100,467元/平"
普惠北里,595万,60.9平米,"97,702元/平"
铭科苑,645万,114.24平米,"56,461元/平"
信悦华庭,1288万,147.87平米,"87,104元/平"
学院南路60号院,628万,58.9平米,"106,622元/平"
中纺宿舍南院,670万,65.1平米,"102,919元/平"
御墅临枫锦园一区,2050万,212.53平米,"96,457元/平"
橙色年代,669万,94.22平米,"71,005元/平"
碧森里,406万,41.59平米,"97,620元/平"
阜北小区,500万,56.73平米,"88,137元/平"
翠微东里,730万,53.6平米,"136,195元/平"
建设部大院,800万,69.02平米,"115,909元/平"
门头馨村北二区,720万,126.12平米,"57,089元/平"
清华园,679万,50.9平米,"133,399元/平"
永泰东里,650万,80.56平米,"80,686元/平"
皂君东里,838万,76.3平米,"109,830元/平"
富海中心,1460万,146.56平米,"99,618元/平"
北洼西里,1130万,116.2平米,"97,247元/平"
玉泉路16号院,750万,81.9平米,"91,576元/平"
幸福时光,445万,58.77平米,"75,719元/平"
燕北园,588万,58.3平米,"100,858元/平"
永泰庄甲6号院,540万,63.6平米,"84,906元/平"
西木小区,535万,53.5平米,"100,000元/平"
华盛家园,1320万,135.71平米,"97,267元/平"
中关村南大街乙8号,1314万,95.54平米,"137,535元/平"
苏州街77号院,635万,57.8平米,"109,862元/平"
恩济里小区,585万,63.4平米,"92,272元/平"
百朗园,930万,155.93平米,"59,643元/平"
10号名邸,1697万,207.02平米,"81,973元/平"
万寿路12号院,690万,64.1平米,"107,645元/平"
智学苑,745万,114.5平米,"65,066元/平"
铁东小区,510万,51.1平米,"99,805元/平"
紫金庄园,950万,92.8平米,"102,371元/平"
人济山庄,1568万,161.54平米,"97,066元/平"
昌运宫,658万,72.6平米,"90,634元/平"
复兴路79号院,540万,66.4平米,"81,326元/平"
北辰香麓,1360万,248.02平米,"54,835元/平"
正源尚峰尚水,965万,124.11平米,"77,754元/平"
国悦府,3250万,396.45平米,"81,978元/平"
领秀新硅谷2号院,1688万,215.97平米,"78,160元/平"
知春路82号院,799万,54.3平米,"147,146元/平"
甘家口小区,680万,62平米,"109,678元/平"
宝盛里,699万,147.74平米,"47,313元/平"
羊坊店路3号院,600万,57.27平米,"104,767元/平"
复兴路61号院,660万,57.6平米,"114,584元/平"
文慧园,670万,61.2平米,"109,478元/平"
德胜门西大街甲5号,930万,90.5平米,"102,763元/平"
豪景大厦,1180万,167.54平米,"70,431元/平"
远大园五区,1240万,110.67平米,"112,045元/平"
志强南园,552万,64.8平米,"85,186元/平"
垂虹园,1480万,122.15平米,"121,163元/平"
建设部大院,810万,62.4平米,"129,808元/平"
复兴路81号院,430万,53.9平米,"79,778元/平"
恩济里小区,580万,59.79平米,"97,007元/平"
有色金属院,688万,65.5平米,"105,039元/平"
碧水云天,2580万,144.3平米,"178,795元/平"
阳春光华家园,1900万,143.91平米,"132,027元/平"
西木小区,468万,49.5平米,"94,546元/平"
菊园,419万,48.7平米,"86,037元/平"
金隅美和园东区,690万,88.94平米,"77,581元/平"
学院南路60号院,658万,59.1平米,"111,337元/平"
韦伯豪家园,1400万,102.42平米,"136,693元/平"
塔院小区,610万,55.6平米,"109,713元/平"
普惠南里,603万,60.4平米,"99,835元/平"
紫竹院98号院,750万,78.15平米,"95,970元/平"
清缘里中区,599万,85.76平米,"69,847元/平"
骚子营,400万,46.77平米,"85,525元/平"
乐府江南,1300万,113.81平米,"114,226元/平"
科技大学,560万,53.35平米,"104,968元/平"
学院南路6号,564万,57.51平米,"98,070元/平"
志强北园,525万,54.9平米,"95,629元/平"
枫丹丽舍,1198万,148.54平米,"80,652元/平"
志强北园,528万,47.6平米,"110,925元/平"
怡美家园,1118万,119.96平米,"93,198元/平"
北洼东里,710万,70.9平米,"100,142元/平"
美丽西园,839万,81.05平米,"103,517元/平"
逸成东苑,739万,75.6平米,"97,752元/平"
阜光里小区,784万,81.2平米,"96,552元/平"
冬晴园,700万,81.45平米,"85,943元/平"
碧兴园,1150万,119.89平米,"95,922元/平"
林大北路9号院,699万,70.46平米,"99,206元/平"
建材城东二里,451万,66.87平米,"67,445元/平"
玉海园三里,638万,72.41平米,"88,110元/平"
邮科社区,755万,73.2平米,"103,143元/平"
建材城东一里,686万,100平米,"68,600元/平"
金隅瑞和园,495万,73.01平米,"67,799元/平"
定慧北里,439万,47.9平米,"91,650元/平"
八宝庄,405万,42.9平米,"94,406元/平"
今日家园,910万,133.2平米,"68,319元/平"
清缘里中区,636万,89.76平米,"70,856元/平"
博雅德园,899万,125.9平米,"71,406元/平"
邮局宿舍,670万,72.96平米,"91,832元/平"
月季园,700万,83.67平米,"83,663元/平"
今典花园,515万,55.31平米,"93,112元/平"
昌运宫,510万,56.62平米,"90,075元/平"
水科院,850万,73.2平米,"116,121元/平"
人济山庄,1220万,106.24平米,"114,835元/平"
怡美家园,828万,94.14平米,"87,955元/平"
青年公寓,410万,41.3平米,"99,274元/平"
前沙涧路7号院,360万,86.55平米,"41,595元/平"
气象西苑,938万,90.23平米,"103,957元/平"
东王庄,619万,58平米,"106,725元/平"
圆明园花园别墅,850万,98.03平米,"86,709元/平"
东升园,650万,48.06平米,"135,248元/平"
金庄1号院,698万,77.7平米,"89,833元/平"
七贤村,715万,66.4平米,"107,681元/平"
甘家口小区,430万,43.3平米,"99,308元/平"
高梁桥斜街乙40号院,656万,63平米,"104,127元/平"
今典花园,580万,55.98平米,"103,609元/平"
阳春光华家园,1798万,136.62平米,"131,606元/平"
观山园,3200万,227.22平米,"140,833元/平"
永泰园新地标,905万,139.59平米,"64,833元/平"
金沟河2号院,475万,56.4平米,"84,220元/平"
七彩华园,1190万,131.39平米,"90,571元/平"
高第小区,1080万,106.3平米,"101,600元/平"
御墅临枫锦园一区,1230万,129.03平米,"95,327元/平"
北洼西里,750万,78平米,"96,154元/平"
静淑东里,1220万,158.6平米,"76,924元/平"
永泰园新地标,720万,109.62平米,"65,682元/平"
恩济里小区,537万,55.4平米,"96,932元/平"
碧水云天,2460万,148.69平米,"165,445元/平"
新康园,635万,102.69平米,"61,837元/平"
翠微路25号院,1120万,112.32平米,"99,716元/平"
普惠南里,640万,55.6平米,"115,108元/平"
榆苑公寓,1200万,117.41平米,"102,206元/平"
双紫小区,848万,81.64平米,"103,871元/平"
北新家园,490万,70.2平米,"69,801元/平"
郦城三区,1599万,142.26平米,"112,400元/平"
玲珑花园,1980万,149.87平米,"132,115元/平"
今日家园,939万,106.94平米,"87,807元/平"
恩济庄82号院,799万,92.69平米,"86,202元/平"
永泰东里,489万,60.67平米,"80,600元/平"
诚品建筑,1880万,193.74平米,"97,038元/平"
永定路85号院,410万,56.1平米,"73,084元/平"
远大园三区,2050万,184.73平米,"110,973元/平"
汇新家园,1200万,88.5平米,"135,594元/平"
花园村小区,728万,77.4平米,"94,057元/平"
新外大街甲25号院,1100万,103平米,"106,797元/平"
厂洼西街10号院,1420万,161.2平米,"88,090元/平"
金地华著,4100万,253.56平米,"161,698元/平"
远大园四区,985万,119.01平米,"82,767元/平"
碧森里,1120万,131.63平米,"85,087元/平"
今日家园,2098万,266.13平米,"78,834元/平"
学院南路34号院,1195万,102.3平米,"116,814元/平"
建材城西二里,445万,63.19平米,"70,423元/平"
安宁里南区,570万,82.97平米,"68,700元/平"
万寿寺北里,565万,54.2平米,"104,244元/平"
钟表南园,555万,58.4平米,"95,035元/平"
