year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
2015,1,1,0,4,5.0,32.0,8.0,22.0,-21.0,29.0,1034.0,-6.0,SE,0.89,0.0,0.0
2015,1,1,1,4,4.0,12.0,7.0,9.0,-22.0,23.0,1034.0,-4.0,NW,4.92,0.0,0.0
2015,1,1,2,4,3.0,19.0,7.0,9.0,-21.0,27.0,1034.0,-5.0,NW,8.94,0.0,0.0
2015,1,1,3,4,4.0,9.0,11.0,13.0,-21.0,29.0,1035.0,-6.0,NW,12.96,0.0,0.0
2015,1,1,4,4,3.0,11.0,5.0,10.0,-21.0,27.0,1034.0,-5.0,NW,16.98,0.0,0.0
2015,1,1,5,4,3.0,18.0,3.0,6.0,-22.0,23.0,1034.0,-4.0,NW,24.13,0.0,0.0
2015,1,1,6,4,3.0,20.0,6.0,8.0,-23.0,22.0,1034.0,-5.0,NW,25.92,0.0,0.0
2015,1,1,7,4,3.0,22.0,7.0,17.0,-22.0,26.0,1035.0,-6.0,SE,1.79,0.0,0.0
2015,1,1,8,4,11.0,11.0,11.0,11.0,-22.0,29.0,1035.0,-7.0,cv,0.89,0.0,0.0
2015,1,1,9,4,5.0,37.0,11.0,33.0,-22.0,24.0,1035.0,-5.0,NE,1.79,0.0,0.0
2015,1,1,10,4,4.0,37.0,36.0,37.0,-22.0,21.0,1035.0,-3.0,NE,4.92,0.0,0.0
2015,1,1,11,4,21.0,40.0,40.0,40.0,-22.0,19.0,1034.0,-2.0,cv,1.79,0.0,0.0
2015,1,1,12,4,41.0,63.0,61.0,63.0,-22.0,17.0,1032.0,0.0,cv,3.58,0.0,0.0
2015,1,1,13,4,40.0,58.0,54.0,62.0,-22.0,16.0,1030.0,1.0,SE,3.13,0.0,0.0
2015,1,1,14,4,28.0,48.0,53.0,44.0,-23.0,13.0,1029.0,2.0,SE,6.26,0.0,0.0
2015,1,1,15,4,29.0,42.0,41.0,48.0,-23.0,13.0,1028.0,2.0,SE,9.39,0.0,0.0
2015,1,1,16,4,31.0,53.0,51.0,51.0,-24.0,12.0,1027.0,2.0,SE,13.41,0.0,0.0
2015,1,1,17,4,52.0,68.0,68.0,82.0,-23.0,14.0,1027.0,1.0,SE,16.54,0.0,0.0
2015,1,1,18,4,64.0,85.0,81.0,87.0,-21.0,20.0,1026.0,-1.0,SE,19.67,0.0,0.0
2015,1,1,19,4,75.0,94.0,88.0,106.0,-19.0,25.0,1026.0,-2.0,cv,0.89,0.0,0.0
2015,1,1,20,4,82.0,107.0,100.0,123.0,-19.0,34.0,1026.0,-6.0,NE,1.79,0.0,0.0
2015,1,1,21,4,88.0,138.0,102.0,136.0,-19.0,40.0,1026.0,-8.0,NE,2.68,0.0,0.0
2015,1,1,22,4,86.0,158.0,124.0,139.0,-18.0,38.0,1026.0,-6.0,NW,1.79,0.0,0.0
2015,1,1,23,4,80.0,175.0,134.0,154.0,-17.0,48.0,1027.0,-8.0,NE,1.79,0.0,0.0
2015,1,2,0,4,82.0,161.0,126.0,126.0,-18.0,32.0,1027.0,-4.0,NW,1.79,0.0,0.0
2015,1,2,1,4,81.0,119.0,98.0,98.0,-19.0,32.0,1028.0,-5.0,NW,4.92,0.0,0.0
2015,1,2,2,4,68.0,95.0,68.0,66.0,-18.0,35.0,1028.0,-5.0,NW,9.84,0.0,0.0
2015,1,2,3,4,35.0,52.0,47.0,45.0,-18.0,28.0,1029.0,-2.0,NE,4.92,0.0,0.0
2015,1,2,4,4,16.0,27.0,27.0,28.0,-18.0,30.0,1030.0,-3.0,NE,8.94,0.0,0.0
2015,1,2,5,4,8.0,18.0,12.0,12.0,-18.0,30.0,1030.0,-3.0,NE,12.07,0.0,0.0
2015,1,2,6,4,5.0,20.0,13.0,12.0,-18.0,35.0,1031.0,-5.0,cv,0.89,0.0,0.0
2015,1,2,7,4,3.0,20.0,12.0,16.0,-17.0,44.0,1031.0,-7.0,NE,1.79,0.0,0.0
2015,1,2,8,4,3.0,25.0,12.0,13.0,-17.0,41.0,1032.0,-6.0,NW,3.13,0.0,0.0
2015,1,2,9,4,8.0,27.0,18.0,24.0,-15.0,33.0,1033.0,-1.0,cv,0.89,0.0,0.0
2015,1,2,10,4,11.0,29.0,21.0,34.0,-18.0,24.0,1033.0,0.0,NE,3.13,0.0,0.0
2015,1,2,11,4,8.0,18.0,14.0,13.0,-18.0,21.0,1032.0,2.0,NE,6.26,0.0,0.0
2015,1,2,12,4,9.0,22.0,11.0,19.0,-19.0,18.0,1031.0,3.0,NE,10.28,0.0,0.0
2015,1,2,13,4,9.0,25.0,16.0,26.0,-18.0,17.0,1030.0,5.0,NE,12.07,0.0,0.0
2015,1,2,14,4,12.0,21.0,21.0,26.0,-19.0,15.0,1029.0,5.0,SE,1.79,0.0,0.0
2015,1,2,15,4,28.0,34.0,31.0,41.0,-19.0,15.0,1029.0,5.0,SE,4.92,0.0,0.0
2015,1,2,16,4,55.0,63.0,59.0,85.0,-18.0,18.0,1028.0,4.0,SE,8.05,0.0,0.0
2015,1,2,17,4,104.33333333333333,101.0,104.0,108.0,-18.0,19.0,1028.0,3.0,SE,12.07,0.0,0.0
2015,1,2,18,4,87.33333333333333,89.0,86.0,87.0,-17.0,21.0,1028.0,3.0,cv,4.02,0.0,0.0
2015,1,2,19,4,66.0,87.0,82.0,102.0,-18.0,22.0,1028.0,1.0,SE,1.79,0.0,0.0
2015,1,2,20,4,115.0,109.0,103.0,117.0,-17.0,24.0,1027.0,1.0,SE,4.92,0.0,0.0
2015,1,2,21,4,131.0,118.0,112.0,125.0,-16.0,33.0,1027.0,-2.0,SE,6.71,0.0,0.0
2015,1,2,22,4,143.0,131.0,121.0,145.0,-15.0,39.0,1026.0,-3.0,SE,7.6,0.0,0.0
2015,1,2,23,4,159.0,150.0,132.0,157.0,-15.0,42.0,1025.0,-4.0,cv,0.89,0.0,0.0
2015,1,3,0,4,170.0,171.0,144.0,163.0,-15.0,45.0,1024.0,-5.0,cv,1.34,0.0,0.0
2015,1,3,1,4,185.0,179.0,156.0,176.0,-15.0,48.0,1023.0,-6.0,SE,1.79,0.0,0.0
2015,1,3,2,4,205.0,191.0,165.0,193.0,-16.0,48.0,1023.0,-7.0,cv,0.89,0.0,0.0
2015,1,3,3,4,224.0,192.0,169.0,198.0,-15.0,57.0,1022.0,-8.0,SE,1.79,0.0,0.0
2015,1,3,4,4,192.0,198.0,176.0,214.0,-15.0,57.0,1021.0,-8.0,NE,0.89,0.0,0.0
2015,1,3,5,4,189.0,209.0,194.0,222.0,-14.0,57.0,1020.0,-7.0,NE,1.78,0.0,0.0
2015,1,3,6,4,203.0,212.0,195.0,209.0,-13.0,62.0,1020.0,-7.0,NW,0.89,0.0,0.0
2015,1,3,7,4,190.0,207.0,193.0,201.0,-13.0,53.0,1019.0,-5.0,cv,0.89,0.0,0.0
2015,1,3,8,4,177.0,190.0,168.0,179.0,-13.0,53.0,1019.0,-5.0,cv,1.78,0.0,0.0
2015,1,3,9,4,154.0,165.0,154.0,169.0,-12.0,53.0,1019.0,-4.0,NW,0.89,0.0,0.0
2015,1,3,10,4,136.0,162.0,136.0,147.0,-12.0,46.0,1018.0,-2.0,NE,0.89,0.0,0.0
2015,1,3,11,4,152.0,161.0,135.0,158.0,-12.0,42.0,1017.0,-1.0,NE,2.68,0.0,0.0
2015,1,3,12,4,172.0,176.0,152.0,170.0,-14.0,31.0,1016.0,1.0,cv,0.89,0.0,0.0
2015,1,3,13,4,180.0,183.0,153.0,182.0,-14.0,29.0,1015.0,2.0,cv,1.78,0.0,0.0
2015,1,3,14,4,184.0,185.0,161.0,172.0,-14.0,27.0,1014.0,3.0,cv,2.67,0.0,0.0
2015,1,3,15,4,172.0,191.0,169.0,178.0,-14.0,27.0,1014.0,3.0,cv,3.56,0.0,0.0
2015,1,3,16,4,166.0,196.0,163.0,193.0,-15.0,25.0,1014.0,3.0,SE,1.79,0.0,0.0
2015,1,3,17,4,222.0,224.0,184.0,214.0,-15.0,31.0,1014.0,0.0,NE,0.89,0.0,0.0
2015,1,3,18,4,245.0,246.0,204.0,241.0,-13.0,42.0,1014.0,-2.0,cv,0.89,0.0,0.0
2015,1,3,19,4,266.0,306.0,222.0,262.0,-13.0,49.0,1015.0,-4.0,cv,1.78,0.0,0.0
2015,1,3,20,4,286.0,303.0,249.0,264.0,-11.0,58.0,1015.0,-4.0,cv,2.67,0.0,0.0
2015,1,3,21,4,294.0,306.0,248.0,305.0,-12.0,53.0,1015.0,-4.0,cv,3.12,0.0,0.0
2015,1,3,22,4,304.0,347.0,252.0,290.0,-12.0,62.0,1015.0,-6.0,cv,4.01,0.0,0.0
2015,1,3,23,4,276.0,389.0,299.0,322.0,-13.0,62.0,1015.0,-7.0,NW,1.79,0.0,0.0
2015,1,4,0,4,269.0,439.0,321.0,272.0,-13.0,62.0,1015.0,-7.0,NW,3.58,0.0,0.0
2015,1,4,1,4,227.0,375.0,278.0,247.0,-13.0,62.0,1015.0,-7.0,NW,6.71,0.0,0.0
2015,1,4,2,4,247.0,321.0,238.0,241.0,-13.0,57.0,1015.0,-6.0,NW,9.84,0.0,0.0
