楼盘名称,总价,平米数,单价
建予园,758万,105.73平米,"71,693元/平"
东交民巷32号院,596万,49.98平米,"119,248元/平"
中国强胡同,525万,51.4平米,"102,141元/平"
本家润园一期,1850万,154.09平米,"120,060元/平"
东直门内北小街8号院,1040万,90.76平米,"114,588元/平"
新景家园东区,880万,79.93平米,"110,097元/平"
工体北里,655万,57.02平米,"114,872元/平"
金鱼池西区,670万,61.48平米,"108,979元/平"
安馨园,2750万,311.87平米,"88,178元/平"
东花市北里中区,1100万,139.04平米,"79,114元/平"
三元街甲19号院,435万,52.93平米,"82,185元/平"
华龙美晟,582万,75.51平米,"77,076元/平"
忠实里,720万,82.2平米,"87,592元/平"
龙潭北里,625万,65.37平米,"95,610元/平"
中海紫御公馆,1200万,91.44平米,"131,234元/平"
太华公寓,1249万,231.13平米,"54,039元/平"
阳光都市,2200万,240.55平米,"91,458元/平"
国瑞城中区,1699万,157.42平米,"107,928元/平"
西革新里110号院,370万,42.32平米,"87,430元/平"
民旺园,730万,56.64平米,"128,885元/平"
安外花园,679万,60.76平米,"111,752元/平"
富贵园一区,2030万,144.71平米,"140,281元/平"
景泰西里西区,445万,56.82平米,"78,318元/平"
小黄庄一区,1130万,90.28平米,"125,167元/平"
望陶园小区,680万,82.42平米,"82,505元/平"
景泰西里西区,705万,88.23平米,"79,905元/平"
城市亮点,763万,84.46平米,"90,339元/平"
培新街乙5号院,625万,55.15平米,"113,328元/平"
光明楼,518万,43.27平米,"119,714元/平"
左安浦园,768万,89.45平米,"85,859元/平"
