楼盘名称,总价,平米数,单价
羊肉胡同120号院,1120万,81.7平米,"137,087元/平"
贵都国际,650万,181.53平米,"35,807元/平"
小红庙,580万,56.96平米,"101,826元/平"
新德街20号,996万,67.5平米,"147,556元/平"
新文化街,850万,67.3平米,"126,301元/平"
华龙大厦,1600万,210.44平米,"76,032元/平"
新街口西里一区,1180万,84.59平米,"139,497元/平"
北礼士路,790万,63.5平米,"124,410元/平"
富国里小区,1155万,80平米,"144,375元/平"
月坛西街西里,1259万,81.8平米,"153,912元/平"
新街口西里三区,1005万,84.86平米,"118,431元/平"
百万庄中里,605万,41.7平米,"145,084元/平"
北营房西里,750万,57.5平米,"130,435元/平"
北礼士路66号院,750万,52.1平米,"143,954元/平"
三义里,638万,57.21平米,"111,519元/平"
德胜里一区,1200万,79.7平米,"150,565元/平"
裕中西里,900万,63.3平米,"142,181元/平"
铁二区,1050万,69.9平米,"150,215元/平"
新街口西里三区,750万,55.92平米,"134,121元/平"
陶然居,1150万,115.49平米,"99,576元/平"
展览路,910万,70.4平米,"129,262元/平"
六铺炕二区,1060万,81.9平米,"129,427元/平"
信和嘉园,2980万,308.5平米,"96,597元/平"
立恒名苑,1100万,147.19平米,"74,734元/平"
阳光丽景,2390万,146.71平米,"162,907元/平"
马连道中里,649万,59.35平米,"109,352元/平"
新安北里,690万,61.32平米,"112,525元/平"
新外大街10号院,765万,60.4平米,"126,656元/平"
新外大街6号院,830万,51.3平米,"161,794元/平"
六铺炕一区6号院,1260万,150.1平米,"83,945元/平"
阜成门南大街,615万,40.1平米,"153,367元/平"
南纬路南巷9号院,860万,75.23平米,"114,317元/平"
政泰家园,555万,67.44平米,"82,296元/平"
西便门东里,660万,56.66平米,"116,485元/平"
三里河二区A区,1750万,117.6平米,"148,810元/平"
三里河南二巷,789万,54.9平米,"143,716元/平"
格调小区,1590万,138.79平米,"114,562元/平"
玉桃园三区,720万,57.7平米,"124,784元/平"
车站西街13号院,390万,48.97平米,"79,641元/平"
车站西街15号院,653万,57.41平米,"113,744元/平"
车站西街17号院,490万,46.8平米,"104,701元/平"
新街口西里二区,1200万,101.6平米,"118,111元/平"
小红庙,720万,66.96平米,"107,527元/平"
车站西街,516万,49.28平米,"104,708元/平"
温馨家园,1416万,80.5平米,"175,901元/平"
木樨地,985万,69.4平米,"141,931元/平"
红居南街,888万,93.31平米,"95,167元/平"
新文化街,660万,53.63平米,"123,066元/平"
新德街35号院,740万,45.3平米,"163,356元/平"
榆树馆西里,1480万,137.87平米,"107,348元/平"
天宁寺西里,580万,58.05平米,"99,914元/平"
教场口9号院,1300万,84.68平米,"153,520元/平"
西直门外大街,880万,68.6平米,"128,280元/平"
新街口西里三区,870万,60.71平米,"143,305元/平"
庄胜二期,765万,52.08平米,"146,890元/平"
三义里,635万,60.31平米,"105,290元/平"
裕中东里,998万,77.8平米,"128,278元/平"
车公庄大街6号院,760万,44.5平米,"170,787元/平"
西直门南大街,1300万,94.2平米,"138,005元/平"
红莲晴园,1200万,117.67平米,"101,981元/平"
京师吉地,1550万,91.43平米,"169,529元/平"
五路通北街,870万,55.8平米,"155,914元/平"
西便门东里,650万,59.45平米,"109,336元/平"
远见名苑,509万,57.75平米,"88,139元/平"
