time,country,new_cases,total_cases,total_cases_per_million,vaccinated,vaccinated_rate,vaccinated_fully_rate,fatality_rate
2021-12-05,Afghanistan,23,157454,3952.61,3530000,0.0886,0.08,0.0464
2021-12-05,Africa,14651,8740000,6362.47,158450000,0.11539999999999999,0.0766,0.0256
2021-12-05,Albania,328,201730,70217.41,1080000,0.37729999999999997,0.3396,0.0154
2021-12-05,Algeria,172,211469,4739.69,6880000,0.15410000000000001,0.1208,0.028900000000000002
2021-12-05,Andorra,0,18010,232825.71,56095,0.7252,0.6507,0.0073
2021-12-05,Angola,15,65259,1923.14,6740000,0.1986,0.0967,0.026600000000000002
2021-12-05,Anguilla,0,1414,93487.60,10079,0.6664,0.6098,0.0021
2021-12-05,Antigua and Barbuda,0,4147,42004.29,61420,0.6221,0.5808,0.0282
2021-12-05,Argentina,1294,5340000,117105.13,36990000,0.8112,0.6636,0.0218
2021-12-05,Armenia,327,340723,114793.90,835816,0.2816,0.17420000000000002,0.0225
2021-12-05,Aruba,18,16450,153458.65,83795,0.7817000000000001,0.7297,0.0106
2021-12-05,Asia,89998,82530000,17640.77,2980000000,0.6379,0.5038,0.0149
2021-12-05,Australia,1285,219121,8496.94,20110000,0.7797,0.7371,0.009399999999999999
2021-12-05,Austria,5192,1200000,132529.96,6440000,0.7118000000000001,0.6727,0.010700000000000001
2021-12-05,Azerbaijan,1394,596388,58335.90,5100000,0.4987,0.4493,0.0134
2021-12-05,Bahamas,0,22825,57506.16,154135,0.3883,0.36200000000000004,0.0304
2021-12-05,Bahrain,28,277831,158915.40,1190000,0.6809000000000001,0.6647,0.005
2021-12-05,Bangladesh,373,1580000,9485.33,64280000,0.3865,0.2274,0.0177
2021-12-05,Barbados,131,26095,90699.60,154033,0.5354,0.4806,0.0091
2021-12-05,Belarus,1757,663813,70297.82,3810000,0.40369999999999995,0.3035,0.0078000000000000005
2021-12-05,Belgium,0,1830000,157102.35,8870000,0.7620999999999999,0.7505,0.0149
2021-12-05,Belize,0,30680,75768.99,228517,0.5644,0.48219999999999996,0.0189
2021-12-05,Benin,0,24863,1996.86,1090000,0.0873,0.0704,0.006500000000000001
2021-12-05,Bermuda,0,5751,92620.63,46054,0.7417,0.7252,0.0184
2021-12-05,Bhutan,0,2641,3386.33,589482,0.7558,0.7240000000000001,0.0011
2021-12-05,Bolivia,531,543390,45921.82,5130000,0.4338,0.3568,0.0354
2021-12-05,Bonaire Sint Eustatius and Saba,14,3040,114955.57,,,,0.0072
2021-12-05,Bosnia and Herzegovina,0,277228,84949.13,882641,0.2705,,0.0458
2021-12-05,Botswana,0,195302,81469.52,921104,0.38420000000000004,0.21230000000000002,0.0124
2021-12-05,Brazil,4693,22150000,103494.19,164590000,0.7691,0.6397999999999999,0.0278
2021-12-05,British Virgin Islands,0,2809,92331.46,18288,0.6011,0.5490999999999999,0.013500000000000002
2021-12-05,Brunei,22,15186,34393.88,404371,0.9158,0.7966,0.006500000000000001
2021-12-05,Bulgaria,706,703160,101956.67,1900000,0.2761,0.2622,0.040999999999999995
2021-12-05,Burkina Faso,0,16000,744.29,442769,0.0206,0.0155,0.0179
2021-12-05,Burundi,0,20439,1667.75,1834,0.0001,0.0001,0.0019
2021-12-05,Cambodia,24,120256,7096.24,14170000,0.8362,0.7946,0.0246
2021-12-05,Cameroon,0,107148,3935.75,793725,0.0292,0.0225,0.0168
2021-12-05,Canada,2382,1820000,47695.97,30750000,0.8077,0.7645000000000001,0.016399999999999998
2021-12-05,Cape Verde,11,38450,68428.42,299770,0.5335,0.44530000000000003,0.0091
2021-12-05,Cayman Islands,0,7529,113221.45,58143,0.8744,0.8449,0.0009
2021-12-05,Central African Republic,0,11742,2386.59,375096,0.0762,0.0681,0.0086
2021-12-05,Chad,0,5703,337.16,198522,0.011699999999999999,0.0045000000000000005,0.0317
2021-12-05,Chile,1927,1770000,92260.75,16910000,0.8798999999999999,0.8445999999999999,0.0217
2021-12-05,China,61,99203,68.69,1230000000,0.8482,0.779,0.0467
2021-12-05,Colombia,2077,5080000,99112.08,37840000,0.738,0.4949,0.0254
2021-12-05,Comoros,14,4542,5112.24,282378,0.3178,0.2755,0.033
2021-12-05,Congo,0,18970,3353.36,521700,0.0922,0.0229,0.0187
2021-12-05,Cook Islands,0,2,113.82,12841,0.7308,0.7112,
2021-12-05,Costa Rica,0,567383,110406.14,3900000,0.7598,0.6379,0.0129
2021-12-05,Cote d'Ivoire,7,61824,2285.24,3120000,0.1153,0.0521,0.011399999999999999
2021-12-05,Croatia,2796,631037,154603.14,2210000,0.5409,0.4733,0.0178
2021-12-05,Cuba,88,963090,85097.43,10190000,0.9006000000000001,0.8207,0.0086
2021-12-05,Curacao,15,17485,106100.88,103136,0.6258,0.5796,0.0102
2021-12-05,Cyprus,307,136832,152713.43,628634,0.7016,0.6559,0.0044
2021-12-05,Czechia,11006,2240000,208933.74,6700000,0.6252,0.599,0.015
2021-12-05,Democratic Republic of Congo,0,58319,631.31,162994,0.0018,0.0007000000000000001,0.019
2021-12-05,Denmark,3026,509111,87576.91,4600000,0.7909999999999999,0.7687,0.0058
2021-12-05,Djibouti,0,13508,13478.39,78388,0.0782,0.026000000000000002,0.0138
2021-12-05,Dominica,0,6120,84797.43,28898,0.4004,0.3721,0.0064
2021-12-05,Dominican Republic,271,408516,37294.75,6890000,0.6291,0.5131,0.0103
2021-12-05,Ecuador,0,526870,29453.04,13860000,0.775,0.6501,0.06309999999999999
2021-12-05,Egypt,902,363162,3483.29,27980000,0.26839999999999997,0.16140000000000002,0.0571
2021-12-05,El Salvador,0,119803,18378.92,4440000,0.6809999999999999,0.6261,0.0316
2021-12-05,Equatorial Guinea,0,13599,9379.33,247933,0.171,0.13699999999999998,0.0129
2021-12-05,Eritrea,0,7458,2070.83,,,,0.008199999999999999
