time,country,new_cases,total_cases,total_cases_per_million,vaccinated,vaccinated_rate,vaccinated_fully_rate,fatality_rate
2021-12-05,Afghanistan,23,"157,454","3,952.61",3.53 million,8.86%,8.00%,4.64%
2021-12-05,Africa,"14,651",8.74 million,"6,362.47",158.45 million,11.54%,7.66%,2.56%
2021-12-05,Albania,328,"201,730","70,217.41",1.08 million,37.73%,33.96%,1.54%
2021-12-05,Algeria,172,"211,469","4,739.69",6.88 million,15.41%,12.08%,2.89%
2021-12-05,Andorra,0,"18,010","232,825.71","56,095",72.52%,65.07%,0.73%
2021-12-05,Angola,15,"65,259","1,923.14",6.74 million,19.86%,9.67%,2.66%
2021-12-05,Anguilla,0,"1,414","93,487.60","10,079",66.64%,60.98%,0.21%
2021-12-05,Antigua and Barbuda,0,"4,147","42,004.29","61,420",62.21%,58.08%,2.82%
2021-12-05,Argentina,"1,294",5.34 million,"117,105.13",36.99 million,81.12%,66.36%,2.18%
2021-12-05,Armenia,327,"340,723","114,793.90","835,816",28.16%,17.42%,2.25%
2021-12-05,Aruba,18,"16,450","153,458.65","83,795",78.17%,72.97%,1.06%
2021-12-05,Asia,"89,998",82.53 million,"17,640.77",2.98 billion,63.79%,50.38%,1.49%
2021-12-05,Australia,"1,285","219,121","8,496.94",20.11 million,77.97%,73.71%,0.94%
2021-12-05,Austria,"5,192",1.20 million,"132,529.96",6.44 million,71.18%,67.27%,1.07%
2021-12-05,Azerbaijan,"1,394","596,388","58,335.90",5.10 million,49.87%,44.93%,1.34%
2021-12-05,Bahamas,0,"22,825","57,506.16","154,135",38.83%,36.20%,3.04%
2021-12-05,Bahrain,28,"277,831","158,915.40",1.19 million,68.09%,66.47%,0.50%
2021-12-05,Bangladesh,373,1.58 million,"9,485.33",64.28 million,38.65%,22.74%,1.77%
2021-12-05,Barbados,131,"26,095","90,699.60","154,033",53.54%,48.06%,0.91%
2021-12-05,Belarus,"1,757","663,813","70,297.82",3.81 million,40.37%,30.35%,0.78%
2021-12-05,Belgium,0,1.83 million,"157,102.35",8.87 million,76.21%,75.05%,1.49%
2021-12-05,Belize,0,"30,680","75,768.99","228,517",56.44%,48.22%,1.89%
2021-12-05,Benin,0,"24,863","1,996.86",1.09 million,8.73%,7.04%,0.65%
2021-12-05,Bermuda,0,"5,751","92,620.63","46,054",74.17%,72.52%,1.84%
2021-12-05,Bhutan,0,"2,641","3,386.33","589,482",75.58%,72.40%,0.11%
2021-12-05,Bolivia,531,"543,390","45,921.82",5.13 million,43.38%,35.68%,3.54%
2021-12-05,Bonaire Sint Eustatius and Saba,14,"3,040","114,955.57",,,,0.72%
2021-12-05,Bosnia and Herzegovina,0,"277,228","84,949.13","882,641",27.05%,,4.58%
2021-12-05,Botswana,0,"195,302","81,469.52","921,104",38.42%,21.23%,1.24%
2021-12-05,Brazil,"4,693",22.15 million,"103,494.19",164.59 million,76.91%,63.98%,2.78%
2021-12-05,British Virgin Islands,0,"2,809","92,331.46","18,288",60.11%,54.91%,1.35%
2021-12-05,Brunei,22,"15,186","34,393.88","404,371",91.58%,79.66%,0.65%
2021-12-05,Bulgaria,706,"703,160","101,956.67",1.90 million,27.61%,26.22%,4.10%
2021-12-05,Burkina Faso,0,"16,000",744.29,"442,769",2.06%,1.55%,1.79%
2021-12-05,Burundi,0,"20,439","1,667.75","1,834",0.01%,0.01%,0.19%
2021-12-05,Cambodia,24,"120,256","7,096.24",14.17 million,83.62%,79.46%,2.46%
2021-12-05,Cameroon,0,"107,148","3,935.75","793,725",2.92%,2.25%,1.68%
2021-12-05,Canada,"2,382",1.82 million,"47,695.97",30.75 million,80.77%,76.45%,1.64%
2021-12-05,Cape Verde,11,"38,450","68,428.42","299,770",53.35%,44.53%,0.91%
2021-12-05,Cayman Islands,0,"7,529","113,221.45","58,143",87.44%,84.49%,0.09%
2021-12-05,Central African Republic,0,"11,742","2,386.59","375,096",7.62%,6.81%,0.86%
2021-12-05,Chad,0,"5,703",337.16,"198,522",1.17%,0.45%,3.17%
2021-12-05,Chile,"1,927",1.77 million,"92,260.75",16.91 million,87.99%,84.46%,2.17%
2021-12-05,China,61,"99,203",68.69,1.23 billion,84.82%,77.90%,4.67%
2021-12-05,Colombia,"2,077",5.08 million,"99,112.08",37.84 million,73.80%,49.49%,2.54%
2021-12-05,Comoros,14,"4,542","5,112.24","282,378",31.78%,27.55%,3.30%
2021-12-05,Congo,0,"18,970","3,353.36","521,700",9.22%,2.29%,1.87%
2021-12-05,Cook Islands,0,2,113.82,"12,841",73.08%,71.12%,
2021-12-05,Costa Rica,0,"567,383","110,406.14",3.90 million,75.98%,63.79%,1.29%
2021-12-05,Cote d'Ivoire,7,"61,824","2,285.24",3.12 million,11.53%,5.21%,1.14%
2021-12-05,Croatia,"2,796","631,037","154,603.14",2.21 million,54.09%,47.33%,1.78%
2021-12-05,Cuba,88,"963,090","85,097.43",10.19 million,90.06%,82.07%,0.86%
2021-12-05,Curacao,15,"17,485","106,100.88","103,136",62.58%,57.96%,1.02%
2021-12-05,Cyprus,307,"136,832","152,713.43","628,634",70.16%,65.59%,0.44%
2021-12-05,Czechia,"11,006",2.24 million,"208,933.74",6.70 million,62.52%,59.90%,1.50%
2021-12-05,Democratic Republic of Congo,0,"58,319",631.31,"162,994",0.18%,0.07%,1.90%
2021-12-05,Denmark,"3,026","509,111","87,576.91",4.60 million,79.10%,76.87%,0.58%
2021-12-05,Djibouti,0,"13,508","13,478.39","78,388",7.82%,2.60%,1.38%
2021-12-05,Dominica,0,"6,120","84,797.43","28,898",40.04%,37.21%,0.64%
2021-12-05,Dominican Republic,271,"408,516","37,294.75",6.89 million,62.91%,51.31%,1.03%
2021-12-05,Ecuador,0,"526,870","29,453.04",13.86 million,77.50%,65.01%,6.31%
2021-12-05,Egypt,902,"363,162","3,483.29",27.98 million,26.84%,16.14%,5.71%
2021-12-05,El Salvador,0,"119,803","18,378.92",4.44 million,68.10%,62.61%,3.16%
2021-12-05,Equatorial Guinea,0,"13,599","9,379.33","247,933",17.10%,13.70%,1.29%
2021-12-05,Eritrea,0,"7,458","2,070.83",,,,0.82%
2021-12-05,Estonia,339,"224,993","169,781.95","830,590",62.68%,59.85%,0.81%
2021-12-05,Eswatini,136,"47,504","40,519.67","290,582",24.79%,23.41%,2.63%
